Unit,bronze_preban_count,bronze_preban_pct,silver_preban_count,silver_preban_pct,gold_preban_count,gold_preban_pct,master_preban_count,master_preban_pct,challenger_preban_count,challenger_preban_pct,champion_preban_count,champion_preban_pct,legend_preban_count,legend_preban_pct,total
Arbiter Vildred,2853,0.2225255440293269,3557,0.18146107540046935,4342,0.14126297296417997,2315,0.1178117048346056,1383,0.09770399152243024,1609,0.08023737096693762,50,0.0556792873051225,16109
Cerise,845,0.06590749551517042,2011,0.10259157228854199,4277,0.13914825780004555,3289,0.1673791348600509,2364,0.16700812433768986,2565,0.1279110357552486,37,0.04120267260579064,15388
Fairytale Tenebria,817,0.06372357850401685,1871,0.09544944393429242,3999,0.13010378371343984,2915,0.14834605597964376,2141,0.15125397386082656,3345,0.16680795890889144,132,0.14699331848552338,15220
Fallen Cecilia,1427,0.11130177053271975,2037,0.10391796755433119,2923,0.09509711422715295,1901,0.09674300254452926,1406,0.09932885906040269,2730,0.13613923103774997,212,0.23608017817371937,12636
Last Rider Krau,490,0.03821854769518758,978,0.04989286807468626,2435,0.0792204834564206,2043,0.10396946564885497,1994,0.14086895090074178,2969,0.1480576472348277,133,0.14810690423162584,11042
Remnant Violet,1367,0.10662194836596209,2117,0.10799918375675951,2942,0.09571526173666917,1431,0.07282442748091603,806,0.056941010243730134,729,0.03635366279359697,20,0.022271714922048998,9412
Faithless Lidica,1214,0.09468840184073005,2018,0.10294867870625446,2694,0.0876468100335101,1376,0.07002544529262086,780,0.05510420346167432,611,0.030469256470353562,5,0.005567928730512249,8698
Ruele of Light,755,0.05888776226503393,1085,0.05535149474543414,1347,0.04382340501675505,585,0.029770992366412213,197,0.013917343694807488,120,0.005984142023637361,1,0.0011135857461024498,4090
Falconer Kluri,59,0.004601825130645035,165,0.008417508417508417,488,0.015876630770732342,607,0.03089058524173028,714,0.05044154009184034,1405,0.07006432952675411,86,0.0957683741648107,3524
Ambitious Tywin,100,0.007799703611262772,229,0.011682481379451076,497,0.01616943748576634,503,0.02559796437659033,432,0.030519251148004238,1049,0.05231137485662993,56,0.062360801781737196,2866
Tempest Surin,194,0.015131425005849778,408,0.02081420263238445,822,0.026743013306438496,399,0.020305343511450382,307,0.021688449311197455,210,0.010472248541365381,0,0.0,2340
Seaside Bellona,453,0.03533265735902036,432,0.02203856749311295,396,0.012883495461495916,196,0.009974554707379134,157,0.011091487107029318,214,0.010671719942153294,15,0.01670378619153675,1863
Top Model Luluca,170,0.013259496139146712,252,0.012855831037649219,501,0.016299573803559227,357,0.01816793893129771,208,0.014694454256446485,193,0.009624495088016756,0,0.0,1681
Sage Baal & Sezan,53,0.004133842913969269,70,0.0035710641771247833,189,0.00614894101571396,225,0.011450381679389313,254,0.01794418933239138,647,0.03226449907744477,39,0.043429844097995544,1477
Basar,297,0.023165119725450434,400,0.020406081012141617,361,0.011744802680808146,136,0.006921119592875318,44,0.0031084422465559873,77,0.0038398244651673065,12,0.013363028953229399,1327
Specter Tenebria,108,0.008423679900163794,139,0.007091113151719212,252,0.008198588020951946,199,0.010127226463104325,180,0.012716354645001766,336,0.01675559766618461,28,0.031180400890868598,1242
Champion Zerato,70,0.00545979252788394,91,0.004642383430262218,250,0.008133519862055504,192,0.009770992366412214,118,0.008336276933945602,115,0.005734802772652471,0,0.0,836
Auxiliary Lots,155,0.012089540597457296,225,0.01147842056932966,258,0.00839379249764128,102,0.005190839694656489,50,0.0035323207347227126,19,0.0009474891537425822,2,0.0022271714922048997,811
